metric,PDR_patients,PVR_patients,PDR_median,PVR_median,median_difference_PDR_minus_PVR,cliffs_delta_PDR_vs_PVR,mann_whitney_p,welch_t_p,permutation_p,mann_whitney_fdr,welch_t_fdr,permutation_fdr
ECM_median,9,6,2.5326902679438845,0.9550200573095589,1.5776702106343257,0.8888888888888888,0.002797202797202797,0.0021134474197393722,0.0004999750012499375,0.004195804195804196,0.0036874909102229798,0.000999950002499875
Contractile_median,9,6,2.333916058652982,0.7401020463345361,1.5938140123184459,1.0,0.0003996003996003996,8.841497167382787e-09,0.00014999250037498125,0.0011988011988011988,5.3048983004296725e-08,0.00044997750112494374
TGFB_Mechanosensing_median,9,6,0.725221258219009,0.6903078647004699,0.03491339351853906,0.3333333333333333,0.3276723276723276,0.23377132126391423,0.2847357632118394,0.3276723276723276,0.23377132126391423,0.2847357632118394
RPE_origin_median,9,6,0.2738456170359752,0.44691124244104297,-0.17306562540506776,-0.5185185185185185,0.1134865134865135,0.07950021855497645,0.04974751262436878,0.1361838161838162,0.09540026226597173,0.059697015149242534
Glial_origin_median,9,6,0.0,0.553768125824343,-0.553768125824343,-1.0,0.0014709042206780879,0.0024583272734819864,0.00014999250037498125,0.0029418084413561757,0.0036874909102229798,0.00044997750112494374
Pericyte_origin_median,9,6,1.049968579910694,0.22648350924697797,0.823485070663716,1.0,0.0003996003996003996,0.00013702720552824068,0.0010499475026248687,0.0011988011988011988,0.00041108161658472207,0.001574921253937303
