cluster,cells,automatic_annotation,annotation,Fibroblast_Mesenchymal_median_score,Fibroblast_Mesenchymal_positive_pct,Pericyte_median_score,Pericyte_positive_pct,Endothelial_median_score,Endothelial_positive_pct,Myeloid_median_score,Myeloid_positive_pct,T_NK_median_score,T_NK_positive_pct,RPE_like_median_score,RPE_like_positive_pct,Muller_Glial_median_score,Muller_Glial_positive_pct,Photoreceptor_median_score,Photoreceptor_positive_pct,Cycling_median_score,Cycling_positive_pct,Mast_median_score,Mast_positive_pct,Erythroid_median_score,Erythroid_positive_pct
0,1719,Endothelial,Endothelial,0.6891407435904411,98.66201279813845,0.941711232653353,98.89470622454915,1.8329407947912757,99.70913321698663,0.024992505145245085,54.915648632926114,0.0,25.13089005235602,0.030916900660474523,52.7632344386271,0.0,45.25887143688191,0.0,15.823152995927863,0.07624236934096076,54.682955206515416,0.0,39.09249563699825,0.0,15.881326352530541
1,1550,Pericyte,Pericyte,1.9480830505159035,100.0,2.004570433469231,100.0,0.248718963210876,87.67741935483872,0.0,39.225806451612904,0.0,20.193548387096776,0.13729356338606502,81.16129032258065,0.030193420100583512,51.677419354838705,0.0,8.32258064516129,0.0,41.54838709677419,0.0,1.6774193548387095,0.0,18.903225806451612
2,1272,Myeloid,Myeloid,0.17486629246541963,77.83018867924528,0.0,46.4622641509434,0.16079970641265046,76.41509433962264,2.3249364052524135,98.11320754716981,0.20793022582328635,80.89622641509435,0.043762680112061816,52.83018867924528,0.41824529780431047,90.17295597484278,0.0,11.477987421383649,0.0716308751616613,52.51572327044025,0.0,0.8647798742138365,0.0,21.38364779874214
3,1243,Fibroblast_Mesenchymal,Fibroblast_Mesenchymal,3.1215073622626175,100.0,1.0957284413601445,99.6781979082864,0.3248055646666705,91.9549477071601,0.0,40.54706355591311,0.0,24.778761061946902,0.16840369437773864,82.6226870474658,0.0,41.7538213998391,0.0,8.608205953338697,0.0,37.48994368463395,0.0,2.413515687851971,0.0,20.67578439259855
4,975,T_NK,T_NK,0.14817836173415133,65.74358974358975,0.0,34.76923076923077,0.0,37.230769230769226,0.44350727211731034,96.0,1.489566563392832,97.43589743589743,0.0,4.205128205128205,0.0,15.384615384615385,0.0,5.846153846153846,0.0,23.282051282051285,0.0,1.2307692307692308,0.0,8.307692307692308
5,941,Fibroblast_Mesenchymal,Endothelial,0.9756062773651679,95.11158342189161,0.44282643676258526,77.1519659936238,0.3517311864946841,66.9500531349628,0.0,31.137088204038253,0.0,7.65143464399575,0.0,21.785334750265676,0.0,14.452709883103083,0.0,1.2752391073326248,0.0,23.273113708820404,0.0,1.8065887353878853,0.0,9.670563230605739
6,346,Myeloid,Myeloid,0.08948174882382037,63.8728323699422,0.0,32.65895953757225,0.14344307494291014,68.4971098265896,1.7063949944585741,99.13294797687861,0.2894331660754993,90.7514450867052,0.0,20.23121387283237,0.09364924469173148,58.95953757225434,0.0,8.670520231213873,0.0,22.54335260115607,0.0,0.8670520231213872,0.0,17.63005780346821
7,248,Myeloid,Myeloid,0.16000506553063748,54.83870967741935,0.0,22.177419354838708,0.0,31.85483870967742,2.105748584858608,100.0,0.0,18.548387096774192,0.0,3.225806451612903,0.0,46.774193548387096,0.0,2.0161290322580645,0.0,19.35483870967742,0.0,0.0,0.0,20.967741935483872
8,76,Erythroid,Erythroid,0.21751781176509033,76.31578947368422,0.0,34.21052631578947,0.0,26.31578947368421,0.0,22.36842105263158,0.0,9.210526315789473,0.0,7.894736842105263,0.0,26.31578947368421,0.0,2.631578947368421,0.0,22.36842105263158,0.0,1.3157894736842104,5.428572242630731,100.0
