feature,requested_genes,present_genes,present_gene_symbols,missing_gene_symbols
SMAD2_3_TGFbeta_targets,11,10,COL1A1;COL1A2;COL3A1;INHBA;MMP2;SERPINE1;SMAD7;TGFBI;THBS1;THBS2,CTGF
TEAD_YAP_TAZ_targets,9,7,AMOTL2;ANKRD1;AXL;BIRC5;FSTL3;MYC;THBS1,CTGF;CYR61
RELA_NFKB_targets,10,10,CCL2;CXCL1;CXCL2;CXCL8;ICAM1;IL6;NFKBIA;PTGS2;TNFAIP3;VCAM1,
JUN_FOS_AP1_targets,12,11,ATF3;EGR1;FOS;FOSB;FOSL1;FOSL2;JUN;JUNB;JUND;MMP1;MMP9,MMP3
