feature,patients,positive_patients,median_shared,median_other,mean_difference_shared_minus_other,median_difference_shared_minus_other,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,wilcoxon_fdr,manuscript_use
JUN_FOS_AP1_targets,15,4,0.8457119974832004,0.9671906228096925,-0.1072310102433379,-0.11469728108523902,-0.239370488479685,0.044409539764431766,0.12054443359375,0.12054443359375,exploratory_or_not_supported
RELA_NFKB_targets,15,15,0.24025772970135845,0.144046309629131,0.11816901877766135,0.1147128528276915,0.08129406717086046,0.16282567758841085,6.103515625e-05,0.0001220703125,supports_shared_state_context
SMAD2_3_TGFbeta_targets,15,15,1.7622306279930342,0.8312378770153357,0.9029298112480609,0.793103347129261,0.7958369525500584,1.0318816669822874,6.103515625e-05,0.0001220703125,supports_shared_state_context
TEAD_YAP_TAZ_targets,15,13,0.37732587265943973,0.13607643513990905,0.24879155564903685,0.2708937604354021,0.16919240233437885,0.3239066592728647,0.0012250235420688657,0.0016333647227584876,supports_shared_state_context
