feature,patients,positive_patients,median_shared,median_other,mean_difference_shared_minus_other,median_difference_shared_minus_other,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,wilcoxon_fdr,manuscript_use
Chemokine_receptors,15,1,0.0,0.0,-0.00024571017935547346,0.0,-0.011693949790577902,0.010956819252511482,0.6547208460185769,0.6547208460185769,exploratory_or_not_supported
Integrin_matrix_receptors,15,10,0.6748703171750101,0.5684873751144643,0.10926989553596873,0.12738222788275033,0.009529561602553369,0.20811977989967265,0.083251953125,0.14569091796875,exploratory_or_not_supported
PDGF_receptors,15,4,0.13524203638584936,0.0,-0.0709629565391135,0.0,-0.23263363509585774,0.07317829442689003,0.5076243443095237,0.5922284016944444,exploratory_or_not_supported
POSTN_FN1_binding_receptors,15,12,0.7297410732908987,0.6117419231913686,0.10711024823121981,0.11267130889927024,0.029011764593566577,0.182634070487681,0.02557373046875,0.089508056640625,exploratory_or_not_supported
SPP1_CD44_integrin_receptors,15,10,1.0512321523312744,0.8910476780022846,0.13544033457466972,0.11968546707705008,0.010290744077280842,0.2547954445342347,0.063720703125,0.14569091796875,exploratory_or_not_supported
TGF_beta_receptors,15,11,0.11089238399595837,0.0,0.05276978363593169,0.0443518137760778,0.026799531064122688,0.08170747450792584,0.0033456181158508813,0.023419326810956168,exploratory_or_not_supported
VEGF_receptors,15,7,0.33430431215560896,0.3192755131346554,0.0388713445626572,0.0,-0.029901349718072102,0.11445730871544862,0.421578895217645,0.590210453304703,exploratory_or_not_supported
