feature,patients,positive_patients,median_shared,median_other,mean_difference_shared_minus_other,median_difference_shared_minus_other,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,wilcoxon_fdr
CCL_CCR,15,2,0.02213290000140943,0.07520021541772338,-0.07433235331474555,-0.04555427812261946,-0.14457333012034043,-0.015644158396565924,0.0280561241492436,0.031563139667899046
CXCL_CXCR,15,2,0.07678573665319972,0.17660504184928816,-0.3811837859573372,-0.144035312278915,-0.6336037500091602,-0.16342885827149514,0.003510363671504142,0.006318654608707455
FN1_integrin,15,2,8.979360571657127,9.90260763745034,-1.0726411725538305,-1.1309857331429995,-1.5446553272401844,-0.5451778798876321,0.00262451171875,0.006318654608707455
PDGF_PDGFR,15,4,0.3050207437778615,0.34862585180034544,-0.24917084930581399,-0.1525318648179501,-0.4243690708946079,-0.10256957909131503,0.00836181640625,0.010750906808035714
POSTN_integrin,15,2,3.823406967016702,4.247427863047319,-0.5352760742971892,-0.4240208960306169,-0.8368415632327233,-0.2563014647888448,0.00335693359375,0.006318654608707455
SPP1_CD44_integrin,15,2,5.126084389343286,7.4114407915517315,-1.0320420696999404,-0.4629343625206568,-1.7871163340674965,-0.28937555449048336,0.00836181640625,0.010750906808035714
TGFB_TGFBR,15,6,0.17442549614918335,0.18337364835286152,-0.060159909149718575,-0.06101222803743507,-0.12084342397059969,-0.006746056722191706,0.0946044921875,0.0946044921875
THBS_TGFB_activation,15,2,1.7113300439221824,2.226878621005974,-0.4802598353764816,-0.498945575703603,-0.7200512070747147,-0.2401806090523887,0.00152587890625,0.006318654608707455
VEGF_VEGFR,15,1,0.9401842589843165,1.7249042729881634,-1.4675186795019803,-0.43589414312858,-2.3091190766732628,-0.7308479507953372,0.0001220703125,0.0010986328125
