axis,sender_annotation,patients,detected_patients,median_shared_axis_score,median_detected_pair_count,sender_rank_within_axis
THBS_TGFB_activation,RPE_like,5,5,1.248393140502371,5.0,2.0
THBS_TGFB_activation,Myeloid,15,13,0.6150587493354256,5.0,3.0
THBS_TGFB_activation,Endothelial,10,8,0.4602816361299301,5.0,4.0
THBS_TGFB_activation,Pericyte,4,4,0.4210607747434425,10.0,5.0
THBS_TGFB_activation,Erythroid,4,2,0.22788451047941366,2.5,6.0
THBS_TGFB_activation,Muller_Glial,5,5,0.14708461026097205,5.0,7.0
THBS_TGFB_activation,T_NK,15,7,0.1427542376241197,0.0,8.0
THBS_TGFB_activation,Photoreceptor,5,4,0.11673524942727939,5.0,9.0
THBS_TGFB_activation,Cycling_Myeloid,6,1,0.02114292571097281,0.0,10.0
VEGF_VEGFR,Pericyte,4,4,1.2269119979228291,9.0,1.0
VEGF_VEGFR,Muller_Glial,5,5,1.0196743864401931,12.0,2.0
VEGF_VEGFR,RPE_like,5,5,0.7595868327461153,8.0,3.0
VEGF_VEGFR,Fibroblast_Mesenchymal,15,15,0.4681255823232496,9.0,4.0
VEGF_VEGFR,Photoreceptor,5,5,0.4543245070016303,8.0,5.0
VEGF_VEGFR,Myeloid,15,15,0.3184197958270491,6.0,6.0
VEGF_VEGFR,Endothelial,10,7,0.273195076510079,5.0,7.0
VEGF_VEGFR,Erythroid,4,3,0.19173017297833989,2.5,8.0
VEGF_VEGFR,T_NK,15,13,0.14803521797165115,3.0,9.0
VEGF_VEGFR,Cycling_Myeloid,6,5,0.09696038752902164,3.5,10.0
