disease,final_annotation,gene,cells,expressing_cells,expressing_fraction,mean_log_expression,mean_log_expression_among_expressing
PDR,Cycling_Myeloid,POSTN,163,15,0.09202453987730061,0.07050182821496492,0.7661198666026188
PDR,Cycling_Myeloid,FN1,163,95,0.5828220858895705,0.9705476598869006,1.6652554585427872
PDR,Cycling_Myeloid,THBS2,163,3,0.018404907975460124,0.013843183509740155,0.752146304029215
PDR,Cycling_Myeloid,CTHRC1,163,7,0.04294478527607362,0.033973375249391036,0.7910943093786772
PDR,Cycling_Myeloid,AEBP1,163,3,0.018404907975460124,0.015194603182125196,0.8255734395621356
PDR,Cycling_Myeloid,IGFBP7,163,73,0.44785276073619634,0.49146755431969197,1.0973864569056135
PDR,Cycling_Myeloid,SULF1,163,4,0.024539877300613498,0.011152756882794773,0.45447484297388696
PDR,Cycling_Myeloid,CFH,163,8,0.049079754601226995,0.029218394731973994,0.5953247926639702
PDR,Cycling_Myeloid,TIMP1,163,113,0.6932515337423313,1.1891150773530899,1.7152721912261386
PDR,Cycling_Myeloid,SERPINE1,163,11,0.06748466257668712,0.04566999202713561,0.6767462454930094
PDR,Endothelial,POSTN,2921,649,0.22218418349880178,0.3731777494112201,1.679587374468681
PDR,Endothelial,FN1,2921,2321,0.7945908935296131,1.9846707888140622,2.497726572221403
PDR,Endothelial,THBS2,2921,345,0.11811023622047244,0.15893928061284066,1.3456859091887177
PDR,Endothelial,CTHRC1,2921,1340,0.4587470044505306,0.6271988583299218,1.3671998993893295
PDR,Endothelial,AEBP1,2921,972,0.3327627524820267,0.3689932334576479,1.1088778137137751
PDR,Endothelial,IGFBP7,2921,2720,0.9311879493324204,3.222996569483428,3.461166536566578
PDR,Endothelial,SULF1,2921,502,0.171858952413557,0.24395254994925383,1.4194928255015347
PDR,Endothelial,CFH,2921,1492,0.5107839780896953,0.6953217973176192,1.361283491933489
PDR,Endothelial,TIMP1,2921,2177,0.7452927079767203,1.665888427701586,2.2352136413947323
PDR,Endothelial,SERPINE1,2921,1269,0.4344402601848682,0.8123263861447181,1.8698229896995442
